	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
PWY-6654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.05257933945152	106.62017160690121
PWY-6690	791.8630462032702	27.352207523448776	47.72935632799355	246.13020369173	49.904189740808434	124.20912736162501	7.096755991913524	28.15790100701865	138.71671087147578	8.880120981744659	227.52788119522677	334.84286636967846
PWY-6700	106115.8185158983	27545.563252727356	105593.3175387356	50232.51533990062	62036.59868801196	48465.94047761514	17600.05748087363	11590.533932177977	4181.128691941355	625.3322870270986	95742.04192471592	79345.18367388415
PWY-6703	93621.61010798426	21972.49530824535	92520.16416811997	40311.67666217261	52816.60116488919	40387.75858711619	14025.509270382234	7357.015607310504	2264.780393500759	317.8837047539221	78043.74104984096	61177.24280827955
PWY-6708	2051.035148408707	219.07865157565442	599.1142438226185	3264.4712681729575	417.9990786883589	1627.4392680456947	254.25747302172596	337.5242950565041	1064.1301069247418	20.00257506223777	2060.232733750472	2948.1829209070775
PWY-6713	0.02679597595402658	0.05972239806732209	3.6779745160217074	16.07988375725675	1.7643597935368946	0.27027964106647856	0.0247402781143464	0.45959278452231744	5.70928714288732	0.0	0.23293721689419697	37.99803921590021
PWY-6728	0.0	0.0	0.0	2968.468079324161	0.0	1540.003115699184	233.60325639701472	0.6750327205737925	65.60305777176147	0.06753313949691336	1457.0420335828458	2180.671551778997
PWY-6731	9.134280828523671	5.512821534241137	1.7360275134136887	31.230885348074956	23.559254110149173	6.5489166055194765	0.25448201903848844	8.597527228803347	35.30595766887678	0.0	129.77670989897035	61.87489044856959
PWY-6737	138080.19040222556	36027.181599145326	148420.2713951938	90092.02771544665	81354.10736810123	90700.16039553	28388.547918624834	27047.494635715462	9467.078027809386	1677.8609259565953	172252.32838102375	141442.24905752184
PWY-6749	1228.627470571337	898.0869681240913	12415.290823186555	11663.827648567398	2168.6455237546043	13906.505195513362	3524.78667075383	3250.4490165500224	1468.1689037414765	231.4115343411102	11559.337653997285	9065.980043992566
PWY-6876	1.095450301266015	707.2323507296273	205.91849906334306	1059.3313586862087	447.1533211747228	465.5256042823401	171.32240793239723	15.691468251183231	1220.0130275332133	27.78920516704039	428.1708040378915	9348.488369195025
PWY-6891	3702.5222425644088	2271.43104209593	2365.2281839180987	12880.426422807457	3999.630582140531	17815.543233388056	3450.1170662739487	5368.831765022832	3388.195283895413	302.6574080383403	24086.838713502457	31282.44022712847
PWY-6892	73683.48550414575	23176.83062386543	88726.55265463762	48622.66529140555	54502.42358585891	50149.41404080276	14563.54315814233	11409.918451142608	4942.486998034955	561.5801816861897	86654.9078040132	78078.3120150364
PWY-6895	16405.74301676043	8488.122218159258	10913.660454765475	30658.250018281415	16019.128983774088	33391.35430192451	9425.509554454076	5193.972987452525	1667.4331856791975	339.48659078153696	61601.97043234997	53938.55838197467
PWY-6897	113407.28235266918	26473.65836164149	110471.40869945477	46067.39495255954	62853.0605930416	41732.912205563116	16295.065657363968	12611.797591265216	4471.452477082333	485.5358378039391	100248.76887698722	64445.51691406753
PWY-6901	58216.69271457864	23411.93653026322	76616.72226174512	48214.582841570096	45465.63583381453	42758.38217703265	12565.123930492991	15524.559277061358	8363.760078870433	753.889440917591	91458.05749862568	68353.58964463709
PWY-6906	52.49491935930745	0.3418532535358875	26.569143975261333	309.0037443049091	23.35747175735399	136.17932880284644	7.537526393332094	33.529872321535954	117.69140126600215	0.0	326.8853316541744	235.79453491611866
PWY-6915	0.0	0.0	0.0	0.0	0.0	1.0943371191232951	0.0	0.0	1.9169260945716777	0.0	1.9830269943844947	2.530195553946142
PWY-6919	0.0	0.0	0.0	0.0	0.0	1.35991033366351	0.0	0.0	2.3821248126589	0.0	2.4642670475781725	3.144222214409927
PWY-6942	0.0	0.0	0.0	0.0	0.0	0.0016129538913068802	0.0	0.0	0.0028253287008196794	0.0	0.002901748558434101	0.003729278388354994
PWY-6944	0.0	0.0	0.0	0.0	0.0	2.35782172919454	0.0	0.0	14.120331146464332	0.0	1.3068732426510123	5.596170921648016
PWY-6948	9.137281188096884e-07	2.038048661619007e-06	9.137373003467764e-07	2.629530856476055e-05	1.7998359654316162e-05	9.10429880317587e-06	8.441644555043894e-07	1.5749686652569644e-05	1.3718304219054834e-05	0.0	7.945324584363345e-06	2.6498547244989656e-05
PWY-6957	0.0005309337291295233	0.0	1.513319257115013	0.0	0.0	4.864917817833605	0.0	0.0	12.48312153461438	0.0	0.0	174.93330213148323
PWY-6969	84783.9194785106	25011.781421074786	115279.14149628425	48882.158854489644	57253.50399745547	41766.50542786622	15212.059541657158	8208.47966661655	2493.2517985373993	523.6704529227086	99880.35008427277	71638.4691162525
PWY-6975	0.0	0.0	0.0	0.0	0.0	1.0259999995713842e-12	0.0	0.0	1.7973333325824433e-12	0.0	1.8593333325565314e-12	2.3723333323422233e-12
PWY-6977	0.0	0.0	0.0	0.0	0.0	1.7372432858640577e-12	0.0	0.0	3.0432653460999775e-12	0.0	3.148227436720993e-12	4.016907449828403e-12
PWY-6992	0.0	0.0	0.0	0.0	0.0	0.03275606800807351	0.0	0.0	9.917974708593592	0.0	0.0	41.754624378929556
PWY-7003	4330.846370589165	6782.07408883542	7579.418999223876	37025.61340206008	7014.393955967958	18197.534649866222	7765.329935955091	18687.70611585533	6487.771264000203	911.6408815256458	42975.823324371864	31422.561712637016
PWY-7007	9.595095103755026	5.412629914328422	3.17253101403984	55.79411554339104	25.59701670241605	652.4850638235054	341.30255617709474	358.2289811611178	864.9975717180407	11.939451026111202	14.057870721610362	2467.6542740527875
PWY-7013	12623.621890435134	2470.377114959619	4129.055215999571	26626.27728524998	3568.11317996292	31515.101835649006	5224.9725028244675	11949.231201225795	3464.2743757981407	431.1732712752882	4371.6172395671665	17307.326222273543
PWY-7014	0.001067043840041447	0.003112456316806728	0.0013644628352577806	0.037848385314183955	0.026200940334819827	0.012822357839365299	0.0009858060906340746	0.020457552429586634	0.021049098171608525	0.0	0.010761306767035086	0.03957859607717521
PWY-7015	0.0007367831245816	0.0016433598910420997	0.0007367831245816	0.0212029810296271	0.0145128083366667	0.0073411834120178845	0.0006806905821752	0.0126996548037456	0.011061612282662638	0.0	0.006406682249864116	0.02136685359275859
PWY-7019	0.0010287363268617945	0.002663124422103935	0.0012009181987685821	0.06470811765262087	0.02271873270814054	0.02288063551683037	0.0021104480430088075	0.03953342220139515	0.025897489215552485	0.0	0.008945453957857348	0.06658172522706739
PWY-7020	0.0009569389880266229	0.002584722838902539	0.0011436454632464557	0.03842283306300953	0.02186174201034241	0.012996515722933425	0.0010938087475476583	0.021659184916740428	0.019606516289472874	0.0	0.008725402558203128	0.03980598546386755
PWY-7022	0.0011101667634102483	0.004056832684903754	0.0017088247307034442	0.045056388035013856	0.0316766817704948	0.014334244705656725	0.0010256458362899008	0.02231766514480776	0.027376664021275626	0.0	0.011268992046736172	0.04887304289799101
PWY-7031	0.003612142259838582	0.01409190683796009	0.006773297777426903	37.954361912743174	0.10863385866350624	11.941715145070775	0.004600667096842436	20.85817025663981	4.805293052162693	1.8805102813309627	115.34321070671427	504.6901764976604
PWY-7046	0.0	0.0	0.0	0.13935661452804188	0.0	19.52263187229296	0.0	0.08056197710681001	0.2009526546187693	0.008059518242621742	120.41771084958383	5.2801647363205575
PWY-7090	815.3879004401131	302.02961614544114	1212.9362923559063	745.4775437695175	516.8785065338815	1517.7586088037453	266.59796699246016	209.79872675163512	70.77144902018765	13.47467105063886	3975.5480471448445	1908.0857714657411
PWY-7094	496.40426786857574	265.2483932211088	925.4292839758018	9209.765470335915	427.8395176038874	8980.192736161891	1416.2044919746174	823.6376476140994	2221.4446766671267	21.38669008711155	856.5902799953639	9563.601361793573
PWY-7097	0.006707591080878763	0.0	0.0	0.0	0.0	0.009124949405905148	0.0	0.0	27.270781109891306	0.0	92.69516334109981	32.81387563731616
PWY-7098	0.007545911982924575	0.0	0.0	0.0	0.0	0.010264903427348369	0.0	0.0	30.579070852428682	0.0	91.17883101845338	36.757299373691
PWY-7106	0.0	0.0	0.0	0.0	0.0	0.0010243201598295912	0.0	0.0	0.001794278937688044	0.0	0.0018561506251946612	0.0023683107051093648
PWY-7111	103571.0211483479	33216.93688297231	128290.42046445867	95912.4904038141	69817.20268773248	99412.78953113213	26893.53729061865	28934.682966419405	11785.508640719505	1617.0164109756809	191394.03262753072	138508.5006860759
PWY-7159	1.4700658399615487	15.42293010098928	7.899620767903532	86.57750246922251	63.06586383443609	55.04932027257148	0.5722071184061782	22.090216965046167	95.3629266017598	0.0	202.14087116302	120.14705340493141
PWY-7184	39033.056869234504	19016.019858690528	41179.212839461536	34824.10213999404	25431.634281119306	25990.087990315224	9634.781976622666	19548.64178166686	4910.041865616066	1730.6465607596185	38408.429676679385	46208.51796099818
PWY-7185	0.00021466914810321664	0.007012553559017758	0.0021053928385653224	0.03746753890988387	0.02976698368132122	0.006336636501301179	0.00019832603031264012	0.008685633008435745	0.045150457533707444	0.0	0.001866649879185206	0.052071815661995424
PWY-7187	43552.05232724698	19657.140556953258	44111.77435621685	44833.92762816084	26875.25328449357	37688.768219210484	12598.624290517382	22598.732374902233	6183.535245165951	1858.451301601547	43947.572935924676	62722.49556409597
PWY-7196	74277.63099194603	28984.951842263737	102491.74281855697	48787.60183569518	56728.829378402115	37057.18108546098	13493.744860874242	23856.00302432078	6142.635607507757	1989.6248803567332	87181.9474730697	64336.29757818223
PWY-7197	45805.25258200621	19888.54979850359	71278.52412510608	31058.04253209672	38510.11540874021	24345.032241225777	8518.840086634016	19088.11175652387	4869.763604057324	1639.733221962726	52356.17064527278	44247.96843581571
PWY-7198	1712.458727034578	1214.1615111076217	7876.685352225227	9807.719940859815	1235.16558081266	12750.42826247258	2798.455472710184	4155.000888398506	702.5900435671441	147.78534599453698	18674.17390119414	14702.574722649768
PWY-7199	81786.42178558854	26659.8598393129	100131.9197452112	64148.17039931957	55867.58106413467	56622.90185623371	19216.009518840085	16946.68345698205	5225.023880898113	1277.140530376066	96320.46081759516	78354.16710679093
PWY-7200	44538.799123266814	19717.636138154823	49159.807129422275	39157.67252382721	29699.446879978746	31532.594495631358	11038.578663002354	18359.647228725218	4943.213195109911	1521.7887720838255	45539.27647782457	53532.27063098019
PWY-7208	111526.83057551093	37690.064144954405	120714.55662021352	90529.89866213349	70429.21670764349	81826.97586039378	26611.497024885957	35790.79100690791	12137.37890527148	2847.2525940251708	136260.1314621877	128735.06424065218
PWY-7209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	868.013699177474	83.30989777067234
PWY-7210	2383.622937682086	1676.7806929374037	10136.918349985623	12074.371438377591	1716.8469985279448	14270.3566739883	3423.0621134690805	5400.575142098297	945.8039117402383	203.3853390949519	20620.673186225606	18028.747847457922
PWY-7211	44207.40659808751	20979.704724843945	57547.37636071082	22249.87580822592	34276.2265414774	22808.66712180749	5667.819199846105	8584.871899475093	2893.2622062322375	344.08834282316224	37186.1475904174	29079.778538162223
PWY-7219	113596.28274028923	39295.306905044905	136499.9779451061	91855.30444275826	77642.94848028746	84050.62871430964	26489.867270339786	33469.4554958468	11279.738575255144	2533.6121950144448	144868.14650475507	124927.45415748906
PWY-722	24.032478131315298	0.35005317654061124	39.76902893000062	36.11370816224322	10.234857789318706	4.999994153335347	0.010853725826838091	0.4509408400029121	66.60303480650967	0.0	18.73938813816088	174.1130103661225
PWY-7220	114159.28160294314	36843.67110011958	141525.1555367431	89648.76644935361	74174.83720404241	69370.66627318079	26039.957654481124	34214.659604461376	13452.72318900328	2883.633458675751	174553.60674999256	113895.86295640244
PWY-7221	106426.51222699815	39090.40793551077	127680.97526378262	85341.93760686021	73497.95328659457	74782.28763624655	23779.94564854726	31413.4577388157	10391.481693272304	2426.394514048797	128069.4886939606	114642.76800371773
PWY-7222	114159.28160294314	36843.67110011958	141525.1555367431	89648.76644935361	74174.83720404241	69370.66627318079	26039.957654481124	34214.659604461376	13452.72318900328	2883.633458675751	174553.60674999256	113895.86295640244
PWY-7228	69254.04920193415	28938.189606167107	101807.24757364672	44516.25701810976	56371.493633901	32730.45024108724	12177.222126708828	22951.47660812521	6094.470065733607	2004.2421168332116	79782.44187111365	57527.18888852573
PWY-7229	114757.97121212093	39500.68376805044	140310.59316635947	91620.15871897705	78642.77527819175	80776.53156736761	26501.304491160943	33347.21080211738	11962.910493581649	2638.552551402362	150609.43075129506	122497.46680403706
PWY-7234	15786.850552148375	22590.445740141848	21335.59323247439	40650.997613162646	22772.410579990017	19296.635123963897	10084.843423896678	25663.733568745814	6968.788222383726	2159.29311827037	16029.18278835994	23057.18455040068
PWY-7237	18345.25042306876	2111.993366188049	14878.769517557472	14200.050069702282	3146.0878094384143	20697.751368878948	5285.190060186465	7144.321777869532	6267.021133277262	640.9987976806001	33530.01368864342	61167.89990216063
PWY-7242	60716.00594449688	18838.126793130145	81123.17965180942	40800.75349557923	40670.998350182235	47207.231401987	12234.871471342189	9530.795798897943	5090.590266436522	610.665987049603	137385.2512088039	54767.78356646762
PWY-7254	2144.049482359852	1198.3976307421178	1544.8748607020138	15504.1971894203	1133.8337111528742	20510.49510833116	3982.755432131704	3362.920433178614	3251.7270268191314	157.86796011926373	5284.300017597192	16969.652219109616
PWY-7255	0.0	0.0	0.0	0.0	0.0	4.47849966364973	0.0	0.0	7.821780340291665	0.0	8.09933003529769	10.354172212673955
PWY-7286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.106426087146275	67.16265777472874
PWY-7287	0.0	0.0	0.0	0.0	0.0	2.0206360734876797e-07	0.0	0.0	3.539503462182797e-07	0.0	3.661555303314947e-07	4.6718733421571844e-07
