Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	NC	HSD-NC	Total
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	74142.07297004818	69883.2704181914	41740.87625541703	56988.91586995401	35804.30875379425	85677.52434352567	47479.10843504535	5731.133091031761	6738.389146736859	6361.802968185859	40113.00417443047	1305.8958723093715			
ARO-PWY	chorismate biosynthesis I	110161.7346698332	145903.33921207092	65872.37924391276	131026.48072168716	42791.7713762223	105961.53816253207	60795.2788149861	6682.198166850115	7416.489827777444	6910.03992380577	46251.95319340548	1644.985207914002			
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	130528.6926133552	302557.36382845865	104140.77033520868	207816.120194544	29779.74310127904	88322.92768235752	45894.35028590976	5745.154577307099	4818.665674299728	3878.910241080601	41218.18152068213	1282.9406658703083			
AST-PWY	L-arginine degradation II (AST pathway)	172.3622571215934	179.90986386011178	394.5091019469196	145.9546186428486	139.6749852382708	414.34677139653024	368.9729418953157	57.13108558054262	254.58711277768185	102.82946223778866	341.75822137207496	75.57544734987253			
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	88982.41515701039	93421.60685828916	83443.38588666407	149623.70570498265	18978.971350631848	5500.582660260013	4916.732513685016	385.63901691532254	3895.2880552417664	1127.0196613985495	3055.040128927343	889.5335127755599			
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	135537.91442026506	223834.23749716696	99376.54711141944	191189.8664305544	49369.37669188487	114669.39068120498	62733.16016323572	7878.596414919543	9101.90605432124	8187.193329917611	53944.828440605714	1909.4405215563727			
CALVIN-PWY	Calvin-Benson-Bassham cycle	152280.11917039717	221981.90595209345	107752.2972621938	217385.51042562272	43587.751009593965	73498.69800985536	54322.29652033047	5084.439895058057	9660.725807364925	7984.926393723565	21687.71916618682	1981.216320644732			
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	33.571360231287734	130.4641440106454	24.360442972469706	32.36411145681068	153.26522015432798	658.8941123405044	334.27330268168447	91.7740455376495	1187.612673821863	103.40856565247138	770.3363237526015	0.347178484957536			
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	1.993870697620148	88.40872279003376	0.3779517907081331	2.4107907595655127	5.370887960738124	2.899923193844203	3.3579915785033743	0.4692472870184135	0.4861565049431244	0.7620778953928513	12.19017251548491	2.135722805510263			
CENTFERM-PWY	pyruvate fermentation to butanoate	7897.102308537836	3309.889003925396	3456.608779186891	14062.228608942822	7259.731761958156	8764.488524598732	5982.820719312927	1287.0541222992929	2354.769609265155	2618.196678184844	8191.888210925663	437.37028092372327			
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	8.695462946971666	306.1094579336919	4.383536914947819	7.787641755340692	47.15339889832968	24.959888183640825	46.00485163028167	21.09943901617997	56.09980757161546	44.31583969666335	95.59779451049926	4.662663337363815			
COA-PWY	coenzyme A biosynthesis I	120125.69106996732	218961.5499335539	104651.57676124216	193205.2573117193	40065.94253999976	86765.82879414957	49505.47851364777	5908.071180580203	6353.815439932453	6449.596940221772	39274.45633172809	1509.7855631307496			
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	66291.53274045342	133951.738944737	60797.496390276814	91007.44103424146	23465.42527634784	73516.22908222805	37118.65443667234	5240.308956984462	5051.9529990766505	4788.465646017567	37112.132054982896	814.0692017592319			
CODH-PWY	reductive acetyl coenzyme A pathway	1032.1988645322033	27690.41611203569	2356.8253488092623	6661.773521580585	1048.0806812543956	773.502232981825	1287.0076761106843	95.24094114793544	306.64024091579364	370.8477980139942	558.2546582744806	35.25534886114829			
COLANSYN-PWY	colanic acid building blocks biosynthesis	45628.07497904039	136107.7031561376	52708.70405772779	101407.3921221386	26507.99384589551	11477.116029302431	11283.093609288086	666.1808840170237	3548.987723867239	3404.06208129893	4709.72656304269	1092.8112888299588			
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	114904.8073310928	156662.19961362312	70298.49292064436	137194.2205089135	44819.01552536876	113576.16651780756	64753.77230868709	7164.004528459857	7668.239374514836	7246.770471326826	49766.67753930982	1702.960630304965			
CRNFORCAT-PWY	creatinine degradation I	1.392942278737994	64.26886893960743	1.6422609567750983	8023.749716796906	107.61099050746355	152.83227271404917	31.67502007934804	4.657935521314673	68.60394638444033	7.555831307278537	108.23471170029975	0.0			
DAPLYSINESYN-PWY	L-lysine biosynthesis I	83427.78560722643	91698.14371122238	21658.691476465687	74366.42827169613	36640.29258692241	94458.77706435265	53875.20540740308	6375.450747388642	7513.284378430539	6832.179670204867	42166.16817406463	1500.5706724251256			
