group-id	STD-NC	STD-NC	STD-NC	STD-NR	STD-NR	STD-NR	HSD-NC	HSD-NC	HSD-NC	HSD-NR	HSD-NR	HSD-NR	STD-NC	STD-NC	STD-NC	STD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	HSD-NC	STD-NR	STD-NR	STD-NR	STD-NR	HSD-NR	HSD-NR	HSD-NR	HSD-NR
subject_id	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001|uncultured_bacterium	0.01680724662207298	0.004195751209948571	0.05439573233980398	0.002783082912208945	0.016218855097096155	0.0005595007531740908	0.002317782313064703	0.0004388553441987863	0.0	0.005026592706363209	0.0003037721351607312	0.0	0.000932365688942647	0.019311752156571747	0.027947807249552887	0.012838719026228082	0.0	0.008730040292493657	0.0	0.0005920783993466722	0.0	0.0006312732782021337	0.0	0.04032079437982957	0.0009332597827482245	0.00255476436375496	0.0050513650036891995	0.000761990138951143	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|[Eubacterium]_ruminantium_group|uncultured_bacterium	0.0020396711586935417	0.05803017531231353	0.0036410592942272275	0.0	0.0	0.098149343662578	0.0003999712841129355	0.004048062226661219	0.0018591483832803405	0.05017707315215598	0.014366635098189875	0.018537974040058292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Dubosiella|uncultured_bacterium	0.0	0.0	0.00017781917483435298	0.0	0.0	0.0	0.015568113058549642	0.004131293412629954	0.0049964612800659156	0.007565275891395134	0.0004467237281775459	0.00016097875080489375	0.0234351375869368	0.0	0.0	0.00031879437762643095	0.018481985255944345	0.0172362333980003	0.01416315959857559	0.0023274806043282973	0.0	0.02487216716116407	0.0	7.522536264893577e-05	0.05600946443378192	0.0024822887789675853	0.023894659174754525	0.0070820259973106234	0.011530398322851153
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014|Clostridia_UCG-014|Clostridia_UCG-014	0.007303625983094778	0.03030790941723573	0.01161751942251106	0.016264697100298025	0.007087838570860304	0.014482461803313966	0.14136420974904365	0.03376916208895144	0.07111242566047303	0.06210888412180602	0.13675106766971035	0.03283119259836649	0.2260860800322548	0.012812664255016542	0.07885589057658883	0.052659034922475007	0.04371301007164365	0.22198179376212507	0.13240530916154095	0.033258472846059615	0.0	0.122782652610315	0.0793002915451895	8.35837362765953e-06	0.1134101451236309	0.24252142559475276	0.09461376922640331	0.04155087404751233	0.023759608665269043
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|[Eubacterium]_siraeum_group|uncultured_bacterium	0.04663632396034666	0.0006156294100376008	0.0005165223649950253	0.0	0.0	0.017043253712072305	0.015291209861856073	3.7832357258516064e-05	0.0	0.0	0.0	0.0	0.0	0.0663203784435581	0.0032998312300057935	0.004926822199681206	0.0	0.0	0.0	0.0015516537362188648	0.014736297828335057	0.0	0.0	0.0	0.0037261003965486737	0.00023554565055896795	0.023383846983370225	0.0015688032272523531	0.0
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae	0.11814060370703552	0.022730932062926798	0.004652935074832236	0.05663066686948243	0.012313311394785377	0.010802668388207445	0.005261160737177844	0.007422708494120852	0.009221798514793962	0.04463005039286122	0.007058234905205225	0.00607482970142678	0.024493498639250075	0.0236218037906193	0.019383359782362275	0.025996232430082596	0.00809884747170595	0.027757051186390092	0.05131110391712528	0.0037158023683135973	0.023784901758014478	0.03396250236727479	0.12361516034985423	0.02081652951968606	0.005540579453713437	0.02706963091808447	0.017708155967989102	0.012998655311519497	0.02410901467505241
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07364980922012195	0.0	0.0005979235744958417	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|[Eubacterium]_coprostanoligenes_group|[Eubacterium]_coprostanoligenes_group|uncultured_bacterium	0.0011578919241491722	0.0023109780930642243	0.006706323165181312	0.0032788547670153973	0.0	0.0	0.0018460213112904715	0.00014376295758236103	0.0	0.00012058745128901639	0.0	0.002101196326295455	0.0017135369418405403	0.00025971616733141636	0.0005667649059170256	0.0	0.0	0.0018653932248918071	0.013272903852379411	0.0006329113924050633	0.04136504653567735	0.0	0.0	0.04998307429340399	7.285671166435953e-05	0.0006885180554800602	0.004881094273227766	0.013088301210219632	0.0
Bacteria|Firmicutes|Clostridia|Oscillospirales|Ruminococcaceae|CAG-352|uncultured_bacterium	0.035253355659864795	0.060871541820179384	0.0052922373462605055	0.004557720801572949	0.007648356417025277	0.004217774908543146	0.0013434932876613987	0.0004010229869402703	0.0006443639282960271	0.01795483682613828	0.0	0.0005422442132375369	0.0	0.010555607086541137	0.009584624297841255	0.0012461962034487756	0.0	0.0	0.0016186468112657818	0.0010208248264597796	0.010599793174767322	0.0008206552616627738	0.014285714285714285	0.0	0.0	0.0	0.0037459560701515408	0.008337068579112506	0.0041928721174004195
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033849029176617175	0.0	0.01675299449660084	0.0	0.0	0.0	0.0	0.0	0.0	0.17388704680110886	0.0	0.17162707306140745	0.15897973445143257
