Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706	STD-NC	STD-NR	Total
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	28377.84768115657	25175.48954830883	97165.09701779508	35747.46229316085	14434.770259400011	8476.180506521001	10117.34203665724	44425.76177415391	24482.63930831628	8847.588814968998	5338.972423568455	514.7099199554166	92843.5308263668	61522.22294034182			
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	12123.174620708814	10948.575729241924	17629.33457438948	14165.145357285346	4569.85001979537	4047.434840565031	6303.688814821579	18165.90148930707	10102.535048787064	4971.9433223598	2610.9338321574173	204.5176769439525	41648.418351210246	25389.19238263788			
FUCCAT-PWY	fucose degradation	11837.705148797637	12315.357663584417	10974.095883593853	13790.34330863175	3470.2192186635657	4882.5396172197925	8152.6045027670625	17375.237079957562	9529.726471769238	6482.092266363386	3002.842133553943	196.6988169952276	42421.07797182555	27518.53636695174			
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	17413.78729481546	13591.570274046588	43470.70748276741	26145.587919941423	7911.839787221933	5580.3784398118505	8794.76377975403	22761.396844537703	10888.691534045409	5091.970541105672	2489.604856373369	357.36021189746305	87671.41150567157	32986.22602035641			
GALACTARDEG-PWY	D-galactarate degradation I	3246.4281789538354	1900.1019975790623	1444.4640805149018	5744.14945192076	1025.4961225324575	1201.2819899199037	2018.4644293014449	4102.835614302299	1639.9306911557728	961.8704624916044	663.3395928315417	71.34159604981431	13522.158823870785	4142.652013058687			
GALACTUROCAT-PWY	D-galacturonate degradation I	23411.3089434312	17838.840636939865	50193.58919797067	34263.302104008566	9964.708288184727	7177.925573861826	10724.871449936403	31910.47085691465	15382.867098617173	6054.164830521355	2850.3706662768577	484.5489787062453	111832.76942488628	46217.102591622206			
GALLATE-DEGRADATION-I-PWY	gallate degradation II	0.0280124056703554	0.5057700515173335	8.168450679694514	3.2090493599441774	0.0010900050599104	0.0566331534232383	436.9785691946356	82.54710302153552	218.23986671103185	102.66830532467635	270.0556382714004	0.0008822198136439	116.2828142782087	235.07652757559657			
GALLATE-DEGRADATION-II-PWY	gallate degradation I	7.856502166946775	23.02234143083662	25.239101238665253	6.860993376905537	0.0010900050599104	0.0566331534232383	547.3978465372834	95.17378260650572	234.2970068669725	106.1149665822088	284.3114739361365	0.0008822198136439	116.2828142782087	251.57873007826308			
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	23652.87787285422	25748.415620804564	52161.783844810496	28270.048123056305	9347.821589630195	24158.867364658363	11735.763513412285	34750.561188044776	9498.906059528705	7774.08750964971	5862.736380888418	2095.0266818445234	73397.5391356344	39817.82248063195			
GLUCARDEG-PWY	D-glucarate degradation I	3287.36870025487	1712.7834037459022	1484.240188802504	5567.688093779834	1029.7502205715575	1134.3978549866968	2909.273418407604	3652.5956952489214	1535.131732126695	847.7459656850701	666.0777312683645	59.232207404191776	29068.046711429222	3868.7868269151454			
