	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
PWY-6210	36.90230424630368	180.57869405984093	92.97404734294568	56.153852478515894	23.59958998010451	96.4657804061853	33.360579811067005	299.1780370706373	39.64554096143675	224.6395736960263	1.2268488255975472	183.81254644840348	57.73200405263234	49.43574627779982	32.7545072216341
PWY-622	0.564141996237423	0.27281642936631917	0.8221603080322397	1.5890228934117032	0.5504950390788782	1.1293834397177327	0.3790036948324516	0.7920739277046365	0.7131509883627993	2.251347764227363	0.0835095486533082	3.5198232784261325	0.6754012870933302	0.7238667201733489	0.0703885248740809
PWY-6263	1123.5798295133538	1108.67538452822	1890.053557497678	1873.8212177147961	541.5809647490523	1252.5165479810141	164.00330016925355	448.8943683726117	517.1231871936067	739.7202792849419	77.00165853912293	1948.9432091634997	916.5444328107815	471.8987372921125	53.60670181736
PWY-6269	23164.811883487215	72843.06352765182	36450.24987680526	45948.182634150086	21162.135113378714	50390.239447258165	5174.567540237499	4920.043537000927	4574.5792116661	37113.90588012299	759.6266341506738	18408.612126838387	3440.269096219352	13246.102369224549	1801.3969707086906
PWY-6277	45414.90209838689	88093.09260228845	50562.129972998824	80551.8391382259	30426.151021013276	66349.86000078196	6303.663689074213	8894.755441318384	7307.888976233197	40786.50758356458	1777.1712673200666	31954.330994118303	7833.078503059735	16030.2346337925	1926.7534610327016
PWY-6282	19944.497763541316	5847.320651189942	4942.324129869915	19887.973499257903	2775.0768582104083	2756.927764638518	555.5632448722923	4628.061515461996	1669.2133316003597	3855.11286476823	847.9393359075357	10567.412165040843	3898.7338490663965	2591.4601153895833	413.5258982260917
PWY-6284	7088.888335395724	589.9995529361255	1080.4158227680743	10095.138797372709	359.6765951051983	764.5484304985835	0.0	18.162807374417	311.7085661481242	1283.6858954691031	48.260951848022565	87.4572271695825	24.01001168298183	998.0118336402059	264.1153926671842
PWY-6285	11337.586133618728	1156.22239774419	1969.1885163853512	15197.396858252383	693.1558109929805	1365.3052808217317	0.0	37.93850809942609	558.2126829348838	2146.4257416224477	93.2048970295818	181.48625337505865	49.89378195374019	1610.8703427646858	369.4475921789266
PWY-6317	36852.51205754375	88054.13485267921	50413.459907063574	71853.04955697963	26762.89733816444	60737.08483552128	5801.224357001232	6689.353936657486	5526.019970799812	39157.314656726165	1469.0869233153066	27078.122280414613	6150.8113098333315	14993.987835039015	1825.899937058386
PWY-6338	0.0	16.41782035027274	8.864742186509597	0.0	0.02916512659446671	0.40905457932918543	0.11763332048767387	2.0766055767704215	0.2800414281630115	4.973009504928945	0.0015964515324954527	9.913744211522276	29.63143625067719	0.21542731490036413	4.275808333672847
PWY-6339	0.0	302.2274396101529	64.963844779426	0.0	18.045025983102782	101.89201504787701	58.05774827146757	1718.6793797745224	123.40326089577461	838.1273793350736	0.0	411.92124146326967	193.36852932920362	87.84848996578269	82.52724793666086
PWY-6353	27455.74212142442	29082.460350003217	22951.860103010375	41870.67085125418	15269.571382520224	31202.832799741143	2765.2333171379814	6741.499304551263	3225.3221612544326	14738.179632692983	1183.5784148774599	17167.854051562084	4610.759754668945	8853.207131127898	1072.7578687723837
PWY-6383	2299.4808154109132	1931.5020285656424	752.7145633585757	341.61494897133036	468.5869734517591	1130.1251124739429	120.50453731108774	214.42386497827135	73.5522148053627	61.66786423156119	0.0	42.57615785059441	312.2605358087492	1546.261553841528	50.293644121643325
PWY-6385	41196.59623059949	98484.59551423178	56901.67502124499	71518.78376159727	30176.508459426983	68506.99851301548	6560.292664557417	7193.698626837226	6722.293407840237	43080.395593782756	1580.38146365576	27867.689101537493	7046.606130659871	13427.237730574898	1611.2273371124968
PWY-6386	41293.999739269675	100786.85247453886	57904.04055595494	72275.64701316896	30690.661051578263	69766.82725595767	6718.308818992392	7328.143798786851	6819.053893085487	44172.13372230758	1589.9639670443335	28319.85937962267	7115.787717687161	13701.643528801727	1638.8361351276587
PWY-6387	42690.26418744134	103293.5046452073	60315.18086376739	73654.5323717432	31186.667203835183	70720.9133857182	6757.019017464442	7428.865288228027	6964.827288012179	44505.086206034975	1637.8699784784149	29186.221219365994	7266.276860459319	13777.039272894572	1656.021448245202
PWY-6396	5940.983519008723	2982.090705146449	2781.122366694455	9244.001997836911	4175.1257880453495	4572.153809761802	697.4929476951845	1661.2608559619493	682.611524803494	1385.575409936265	219.45387679325341	3597.0042467321523	875.9513452646916	847.8053002194813	63.33307671615284
PWY-6397	0.0	7.304079999916431e-11	0.0	0.0	0.0	0.0	15.469056487746778	0.0	0.0	0.0	0.0	3.730479999991961e-11	0.0	0.0	3.527801209405049
PWY-6404	0.0	2.919364274428393e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4910337851359865e-10	0.0	0.0	9.885404593213726
PWY-6467	12894.839206117977	2179.790574852943	2361.6915677374845	16220.39524783727	656.5102427772699	1375.829270183875	131.2448280232501	2082.1884899824363	548.7334153572514	1667.815990587528	615.0944269159443	2203.159066178315	2760.063218944506	1726.7513119959178	287.7295420968834
