	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
COLANSYN-PWY	665.9977763472516	3575.4066754622686	3410.8233770816364	4647.14269709172	1076.1942787000971	10944.382203148272	4763.1029992301665	5537.6834576458095	701.1911926292377
COMPLETE-ARO-PWY	7164.088548553822	7683.773312518607	7262.230851084376	49983.62713502151	1659.7497955382685	29441.924113962257	7266.001103263632	14704.279041036672	1817.416980871513
CRNFORCAT-PWY	4.657927968449219	69.33937453428658	7.555870156495795	109.90838071674526	0.0	40.048167253053684	138.1172394270577	55.741982989684416	3.4381880364255086
DAPLYSINESYN-PWY	6375.355742135663	7534.943726677213	6850.130923748886	42298.777787639396	1459.862782305772	29718.806255320378	6143.66734452002	12744.825742461519	1431.3227300065462
DENITRIFICATION-PWY	6.121931505511067	99.6837407485307	50.230130592828864	97.07925315153099	8.449262757011649	26.985384312484708	106.7606397840996	44.27290666522466	0.7375035362858767
DENOVOPURINE2-PWY	3810.6162345236967	6052.509434658736	4813.609303574531	26938.843651083305	990.6910493384261	15782.304340792616	4878.571692721578	9521.05594739105	1072.4846070652127
DHGLUCONATE-PYR-CAT-PWY	0.0013383400402076924	214.6550343009601	7.767871569031821	81.67569171234562	0.0	54.680539485555336	0.0007009204017383088	27.822667366892613	22.215918186916404
DTDPRHAMSYN-PWY	5356.947676316122	6444.610303905568	5476.975532228743	39143.49096566478	1255.1311052643034	21723.984416582534	5632.237678670382	14098.27707471675	1796.4756063591922
ECASYN-PWY	70.90262790043226	449.9805938047535	200.82692727906095	280.94378026696415	36.473795274611824	288.8580041043999	252.41887886822656	164.50451267116006	58.38679825479664
ENTBACSYN-PWY	189.02524515992914	417.4489079188422	378.54282828290485	933.1934985181333	92.57264551129938	644.4296512784281	494.4752626781066	2768.7806645407422	144.76244971310308
FAO-PWY	672.8576655346334	4448.414582588098	2486.8483110825687	2978.3302057016917	390.4104576344524	4627.510065199037	1724.378742166093	3703.9526150689508	318.0908094700186
FASYN-ELONG-PWY	1232.1254895591212	6089.355938345294	3647.119600481295	7684.550899858216	1385.940633839612	13294.762666992418	6203.519580357207	7359.089907265139	754.6679755691647
FASYN-INITIAL-PWY	496.4316618160235	4627.761827640044	1612.8972861886157	4221.834405387641	837.540120475433	9536.77714366398	3807.4503667467397	2442.345087695588	383.86846112918585
FERMENTATION-PWY	5213.212507167588	5177.585720437059	2263.558354225701	30758.92479609185	1019.471676682103	10320.310686199296	4298.342002932838	8243.298875947028	912.4985636695943
FOLSYN-PWY	5566.326623392085	4906.68546745975	3420.9019319989284	38888.48747384957	913.6750894934518	13292.231124285852	4510.131847623049	7753.958672337903	821.1509022258882
FUC-RHAMCAT-PWY	1036.8579372920713	1858.1832317978367	1431.6185297495058	3120.5109467885304	442.541130672386	8793.802211259326	1720.4285861835594	4079.148810316562	511.1145443716967
FUCCAT-PWY	1631.61687972086	2408.8178511889014	2105.393873198373	9539.90835271234	473.5145443416645	13843.196610343508	1729.764322844897	4508.693112255954	558.2472650090195
GALACT-GLUCUROCAT-PWY	970.4021488918702	3957.1547116108163	2681.4822053789503	4173.838500228165	524.5604075467725	14162.24290437796	2599.413983916256	7623.215949823646	958.300905608759
GALACTARDEG-PWY	185.2950627907215	1538.6147848376338	648.4025705358588	1054.9318379159783	173.1893815771814	2593.200049329646	762.1249234352814	607.7311542301494	164.46038900591856
GALACTUROCAT-PWY	1308.6182385259206	4983.21576986254	3658.9052777060156	5502.698555585656	681.204297949962	18503.589146133127	3454.978070078276	10620.18826332043	1411.9479438905098
GALLATE-DEGRADATION-I-PWY	23.382814160952172	903.7279824356108	59.18816093769299	399.2405900773764	0.017353053884702603	182.58342901148723	83.19853690561467	32.3523487855255	37.67856458436038
GALLATE-DEGRADATION-II-PWY	38.5825589664675	907.8397685341273	64.93756894503404	449.15733811125796	0.017353053884702603	237.62303350248257	117.17697080498709	68.63518041568324	46.51661895104937
GLCMANNANAUT-PWY	5026.025033585809	3483.091323262153	2614.4398664223395	34658.23081175024	631.4899775498802	14060.116969477425	2510.892760184135	5861.245788662425	795.9464480321708
GLUCARDEG-PWY	193.6628872035274	1763.5483459033683	855.9732255735012	1188.2067965718013	192.37922232758643	3614.936415811492	869.795940948672	4172.828369387987	652.2889315290855
GLUCARGALACTSUPER-PWY	185.2950627907215	1538.6147848376338	648.4025705358588	1054.9318379159783	173.1893815771814	2593.200049329646	762.1249234352814	607.7311542301494	164.46038900591856
GLUCONEO-PWY	2143.8598532972846	7105.1328600921115	5797.0580133519115	12016.927424268146	1650.8968755388028	23942.817261581193	7147.431528125517	12269.769945656526	1388.044103412518
GLUCOSE1PMETAB-PWY	96.65507728653016	465.1392280045951	373.68725223121555	1158.0347447347208	157.71773388843636	457.47574003988524	240.6726073891879	989.7861793292377	313.4596101224853
GLUCUROCAT-PWY	1379.2563409980391	4402.856767592375	3048.8552558196207	8579.131488383895	530.1507821986851	15768.051983464884	2619.072383439051	7450.058077376113	905.6777639697032
GLUTORN-PWY	5187.1614120609665	6249.674998428009	5576.581866822382	37740.22417871464	1208.5787829325175	22557.422882196337	5312.341340473196	9017.812507411207	948.3836857343586
GLYCOCAT-PWY	7845.389259847952	7882.9921380968235	6495.20169970396	52044.617594448006	1895.2323180655794	32042.43188772563	7890.577090967485	18565.497553242865	2445.879842640246
GLYCOGENSYNTH-PWY	8249.705188244156	8395.323798716754	8355.74670729271	55176.58411379309	1726.398330655947	34933.1071313413	7336.488744480498	16293.617781323224	2146.922542375776
GLYCOL-GLYOXDEG-PWY	262.2834471483953	845.6642981108981	263.8231580917556	1232.265201690564	35.776359684379436	887.3637629339202	537.1279474776074	1313.2466763375346	93.7411594607859
GLYCOLYSIS	5082.568311286738	7406.758525620054	6210.286457812384	22296.40417656321	1584.1065236196678	25695.058204470515	7386.280829353889	12916.918618394475	1283.2373990596882
GLYCOLYSIS-E-D	1366.7730482165148	5806.107094031983	3245.5540201004837	5999.740898417835	762.800257667633	15357.991096027159	3932.8549447606742	8035.018143547251	886.7930279105727
GLYCOLYSIS-TCA-GLYOX-BYPASS	607.27598930203	3380.3435623823843	922.3590689149539	3453.316862959266	325.23357055828285	2491.4129242564118	1226.557104699233	3113.775801994439	360.00744309720983
GLYOXYLATE-BYPASS	258.74860161771056	1844.5630922883681	501.3490028495096	1578.0946049455729	163.16353569455018	1213.0588736783714	912.6718570484602	2310.9370311925104	210.79939927535656
