Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	STD-NC	HSD-NC	Total
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	22481.45887530548	27049.80421979756	63027.4922055552	23434.5964367345	73524.3891183106	37147.86903717052	14867.71607434526	35959.688729010326	18369.06738327376	8680.800180661796	5241.163568544213	5058.0728677101615	4805.8414820213775	37236.20556595831	799.3638669995994			
CODH-PWY	reductive acetyl coenzyme A pathway	1158.9837207683686	1262.9294723786109	4544.707739645303	1048.638635601344	774.1206241101958	1287.7522716014118	1111.539804228947	1951.7092693134057	559.7142454660473	376.767665526405	95.24110352282788	306.64810204660074	371.4416484745458	545.793017867671	35.24223943915383			
COLANSYN-PWY	colanic acid building blocks biosynthesis	30064.636291743795	26452.35716479264	73124.03520390132	26449.14050187516	11467.112827644269	11290.052289676923	8810.672032511238	49884.76769755261	22736.356308387964	9625.125559681264	666.2149295310876	3537.6591807679456	3411.0380895760336	4648.862461991457	1078.8849769643966			
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	59934.44449805629	55026.63262990111	90663.27737463152	44726.5495648886	113585.55464052572	64797.69982833607	21303.305721549496	77389.86807665271	32969.95562827833	14229.596909876713	7165.058752310645	7652.779929759115	7262.736096274039	49919.47595170623	1668.468506471606			
CRNFORCAT-PWY	creatinine degradation I	2.506634976450757	11.113128748049183	24.01689275774788	107.66284516883108	152.8856945846038	31.73137654361802	218.0429218790011	22.20967163394312	35.893691294924885	34.98017619879106	4.657947482856055	69.33860939213615	7.555889810248695	109.9086080693494	0.0			
DAPLYSINESYN-PWY	L-lysine biosynthesis I	45324.29598165398	48450.76567597279	58345.68301692038	36564.07957499431	94469.61361156296	53920.381146974105	22161.822128552936	67195.99432567995	24051.096022130045	13722.190345052646	6376.430947012197	7507.637294270275	6850.759371853201	42253.24696883016	1468.1837279782817			
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	16.403137003461687	33.330997121854466	282.45793862649026	93.78062730873216	137.28169463547	228.29911360443884	124.63805720288376	41.18235755204785	18.38914421736568	69.1602800006864	6.1219405592222085	99.58605484295242	50.23021726638776	97.07930179858349	8.449271894407707			
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	26071.443838930067	33842.485106643064	92993.44711343214	31257.674938588232	53099.92081615729	29392.662270286903	15626.50603865789	59837.033347149314	24415.489676262907	10428.751629924118	3810.810704648736	6035.869818111113	4813.915849097889	26923.87753862188	992.9518840167848			
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0007170915416134	0.0031804995896459	11.030891993418969	22.48152977112734	61.00570266365805	138.93668788998886	190.36417104095912	13.18692114489051	15.565296283836409	39.232222993931735	0.0013383431457854	214.65503241834475	7.767871545631454	81.67591122233502	0.0			
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	49094.84790638657	48528.64944573815	120279.59639717884	34578.08795089781	78620.0341139241	40200.90012925597	15936.371810194036	68388.2897742285	30663.159429799944	12444.76179889167	5357.814279238686	6415.761861601975	5477.239424147622	39067.26873199145	1256.878630395206			
