	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
PWY-6519	38848.45230668727	15252.114232514414	4659.709793960009	19778.996178119676	1733.425327511749	2577.608701939904	1451.6013938799315	315.6659391165819	94191.63642639843	63367.89370474004	5061.859713651642	3891.795037896097	2140.793392150774	314.8158345406291
PWY-6545	22255.592869347827	7823.041261024696	11915.574037544931	23028.403199902874	9430.58930789374	18110.115639325973	4367.226445213037	1027.813950096417	33054.629805981196	41784.9213371467	8496.634508220675	2761.5346649613875	5680.943704294551	611.5443281446487
PWY-6562	31.8442285163312	0.36800542614359344	28.413957047254957	66.23199354968783	16.000230656713285	17.644686240516698	62.69020535707668	0.0	396.1172755194582	149.31631234813517	302.4521892961743	20.83313263783678	97.49104957911534	24.581870017329592
PWY-6572	2838.7631072663526	1504.3767745820583	334.9901863527947	536.6198661640876	27.25785655630621	113.33129368732338	2.784165214227999	0.0	11332.025321717429	217.84013481379316	92.12668081526935	717.9021772231869	176.83755342835488	9.519460596416437
PWY-6588	45125.08705134846	8077.966709459675	14105.537441143588	29344.846710921935	17674.887032662195	42403.0591536643	4727.1640841089475	561.4670263983946	26965.933482380675	48186.878286287305	19056.000550303408	3142.2602946483316	2460.6987675685646	191.46768888217528
PWY-6590	16701.84939509491	3428.41717537575	4210.7092130308365	11099.416244828823	6826.018341804433	10923.3107262516	3105.890000200264	215.77265944127257	16692.45011987753	17073.618413790282	7936.815166171145	2130.4807312496882	2875.4024184515047	289.3891976498206
PWY-6608	36830.85795448819	9138.835145120798	8594.896040162583	47686.65131953405	21902.210423545846	56196.48675938752	6737.385576591543	504.3735337776988	144405.90076489392	61397.05732528819	20358.565577850142	4872.45028667857	8782.668046802895	1023.3770708651891
PWY-6609	74118.37969698006	23262.54942374966	29697.338770312632	76308.9328239568	41928.39409766507	103917.77628494885	9828.914872294099	2172.082600842916	128253.81500177553	117365.35853487134	29547.191400630687	7378.782751835032	14373.419163572298	1805.421885601846
PWY-6612	27738.723192190297	11940.938659631862	6233.888270365421	41243.23839917385	20394.95178572475	54484.64256785941	4109.972661775532	362.30766197420996	81713.6883018502	49403.07824488073	10774.109543100718	3757.3019332761683	6477.462518650244	657.6340492841997
PWY-6628	14539.451628753557	2648.5887895059927	1095.4145527367473	9291.349758449429	12204.204737685008	28041.48375032017	3959.457210777281	120.200445771832	49130.470838690744	37952.8851755771	6354.789523297049	2591.3172339974835	4113.557563938107	779.3252359734823
