	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
CENTBENZCOA-PWY	1.993870704164265	88.40871190007161	0.3779518224256978	2.410791589359798	0.2560348999436627	0.16240431163510202	0.7081529350269372	2.6570047113845483	1.653007334184461	6.50746889222906	2.0939110861542902	29.987441354908686	13.415774465099288	0.10850944393046177	1.4589420473075487	5.370889938634657	2.8999251173976384	3.357993987755884	10.165107002948155	4.111517386036768	7.021705914270325	14.656767565090007	2.7616513062384795	0.8450662838472902	7.610468973581965	0.4692476509082273	0.48615688457497436	0.7620785001539808	12.19017488342352	2.135722489304678	1.2131007462907637	0.0	59.409048303635274	2.4334477857040273	4.379030162730387	0.2461287081291203	2.5776593086973763	0.3398728317987942
CENTFERM-PWY	7905.535367058189	3308.955715343954	3457.366773374506	14062.16226847729	3184.519329524239	1456.4901768046443	1585.3837957468959	12760.978307588266	1847.8078578455682	5937.030149958812	5197.1709362952615	4644.352709397819	13601.094613636127	2889.437726399691	3352.8650516732337	7255.951788932566	8792.656583926351	5982.67965369726	8935.388728945709	5518.398187486697	8722.303858772115	4293.935208725536	11138.729066987144	4483.980206157941	2319.2724508042934	1287.0541689492306	2357.002846001471	2618.211079938844	8232.738527524287	437.37165951651684	2559.513062715379	169.6046541049697	13403.156506552168	13724.170712880077	6592.1110117904855	1769.6895863960567	2395.7552103460275	234.21464791723318
CHLOROPHYLL-SYN	8.695461217778067	158.3532644044984	4.383533871054527	7.787624381980329	1.61170336573782	11.905052982679543	8.915049455778199	71.89255776353428	47.97458557518882	27.687228794694576	25.6391031200689	52.80717673592	20.097094181093265	0.588524975384743	19.456094407642205	47.152947168791876	24.96110367881792	46.004786568627395	102.65993309770344	32.98251349133051	55.15556108736287	323.32017308665905	41.584576408175295	25.217597425736667	19.16804415364883	21.099421450350537	56.10224766908725	44.31582546199002	95.6092211550022	4.662663591731438	71.96658693082112	0.0	225.35681392046283	97.97970320065649	217.54599686290788	40.669396832124875	55.85545343180716	5.568116262276497
COA-PWY	120769.05818191133	227315.5438070048	104079.67704729809	193286.312148771	105610.46794928079	31798.546875918844	110082.3795742294	75783.38101009325	61226.15711300447	49871.360072226846	51613.61911620297	116579.2411190485	67885.3262223813	22543.079355228285	27599.559455746035	40038.7259381244	86611.79992148168	49453.56031275866	70274.5807734683	27488.104974256385	61639.84438180333	20255.34755549699	76041.16164297586	32925.51224200671	14559.341104206831	5908.070759117355	6358.831980439466	6449.613521767476	39221.126224476306	1509.785764409851	8819.492072917998	2045.9830131445913	119173.11274339652	104547.27886413323	24560.728166588357	6465.965677396625	10844.75601114566	1337.1086105311294
COBALSYN-PWY	66946.76163152339	141978.7123662716	60316.658435400685	91002.02343052726	60074.84531218782	15067.202086783094	64915.21585836662	29498.330143606676	34119.66003642779	22595.254440039473	26975.95352368023	62640.09999219787	32199.893712338224	9186.71623217453	10640.04828837275	23440.956996852066	73361.36269472388	37065.90650023333	47002.07129901777	21767.220185216094	51026.575539076664	14749.473287502347	33160.467968318146	17778.027412213953	8010.538758649973	5240.3089248194665	5057.113537200721	4788.484643683617	37059.02920321012	814.0705359023826	5749.207544250988	559.1849195697375	67865.99777813409	47564.41935745272	19260.270935215165	3595.8260123423265	14534.10277259703	1907.5943371295423
CODH-PWY	1032.2376731315376	27781.82948100288	2356.542912625094	6661.816533585196	2704.736877544286	155.98285572408327	1939.9652575636335	682.5618410810641	624.3752425745832	1159.0180943982266	1262.906501218516	4544.206761184987	3220.3226960639813	487.5153870382873	280.015784799465	1042.9309168531627	773.496859652237	1286.993282158904	1571.3168461721343	518.3214307228432	1160.2337710163756	1110.0906977301295	1950.618057849647	559.5643084260719	375.3518343504689	95.24096974972674	306.6401996539927	370.84788073842503	558.2487602549674	35.25534888740356	408.1097810382114	6.136737695821263	4632.932449398325	5655.398715912405	829.3407080814914	374.0298053049868	666.6014773727816	39.67429566414765
COLANSYN-PWY	44818.553686307496	137734.82842183314	51173.29752158888	99532.3680192039	49432.88750971987	20725.15974253521	26281.378003869002	48017.87183321263	25617.892486881847	30057.306615610785	26438.049507854164	72967.72797501016	40805.788795550674	13674.71247393478	10289.578915183958	26497.17712812292	11484.237945238463	11282.260023765832	39984.39951693736	8156.267460226779	14213.515977247294	8836.13662957993	48994.1326315874	22195.384393654003	9481.2637015532	666.1795742185374	3556.6714344965812	3404.0635534699445	4723.359773553406	1092.8113409320747	2533.1562216031793	748.827204491706	43338.04456660971	70990.28399434788	11055.751885810081	4765.691448529805	5585.742234242339	697.5943457792874
COMPLETE-ARO-PWY	115962.8441366832	160061.30393564785	70831.08969183337	137739.22600988357	67526.51839898333	17423.7744721203	72777.8679194295	66841.94669429201	33289.54770247348	60059.70370718854	55034.14156809771	91196.3225302037	71600.96876409615	20466.814587193225	18698.75456998913	44802.19413620042	113579.71164197508	64753.783435555124	81347.64278938892	31892.65486326219	72204.2296757904	21346.664009935095	77419.08108718017	32957.09827477557	14250.50953278909	7164.004110721373	7674.003820446005	7246.789299729515	49772.657568710565	1702.9607775817344	7980.197807284773	1075.4543282407042	112826.5358436723	110149.14684168958	29703.586643853745	7301.749644538808	14754.871711111222	1812.3609004746686
CRNFORCAT-PWY	1.3929438299390475	64.2698739390304	1.6422621858078443	8033.135890622693	0.7240474142654713	1.6141034193502248	10.069237667108478	57.217193076391155	21.66771625074353	2.506635374265057	11.113132688466534	24.01669598533271	12.507265877029765	0.6688568594267973	12.454038619909735	107.61028281630898	152.83342203406932	31.675044776119808	134.89388191457778	84.32793734171854	177.6200569341667	217.93996286361167	22.20970346349626	35.893562337074584	34.89231629496487	4.657939202397893	68.60452878150613	7.555837357179557	108.2390725541936	0.0	44.87680252268219	0.0	78.72390313769671	49.72471701990531	40.104914830211534	138.22913014921176	55.74185299104464	3.4381716603028107
DAPLYSINESYN-PWY	83437.90322895108	88760.82082336392	20104.060112007206	72698.65238642895	17773.339244416922	9713.919897361417	25125.87968272245	55686.83490330784	16016.688136458595	45489.52652448523	48293.3978267866	58137.37647404268	56535.93377891761	14870.236291949275	23481.409171618925	36607.2242834555	94295.41135016298	53822.086775534546	69701.8587401955	29367.067941237583	64613.774992785795	22054.71995844499	64704.69929826091	22602.89557442021	12907.872446463252	6375.451067207227	7520.3479049791185	6832.200465865716	42105.51815113378	1500.5708791777647	8889.262738277337	1455.5071313072735	92901.34879661234	91933.8810669685	29952.111436388503	6169.820434530575	12784.038780353118	1427.0661591033177
