Unnamed: 0	description	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710	NR	HSD-NR	Total
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	39504.57211711612	9123.73055543714	32396.331297098368	47572.51158072082	13834.971764009604	67312.3258995532	25852.061954402725	57667.08794955407	26093.01858675683	5584.36684508555	11672.268686891892	1269.7127059191064			
ARO-PWY	chorismate biosynthesis I	64190.95219827917	16348.491361199494	67512.76488218116	64360.26204587934	30794.49701030581	78139.15988150398	29756.74015951225	67473.72034790898	28111.68979755004	7028.743601978375	14070.369214052498	1718.835771936769			
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	108920.30051557392	33726.41087280443	138367.98595952467	71183.09627047989	71650.97178739987	50558.010578842506	22480.46387968419	58579.48614380061	19144.33107811159	5641.863806478459	10695.51084676577	1235.2240876743629			
AST-PWY	L-arginine degradation II (AST pathway)	764.550610647377	27.812405964520742	62.78649171049076	178.7440863581894	64.90266569238688	128.25739470095604	174.5064723203785	285.29117248924234	179.64328444453238	136.44062806803498	109.87926651984908	49.424713880213616			
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	86290.41526272485	23582.765706968275	90813.59195698502	45862.7788776214	54236.52824425036	21672.92927969888	2044.5602141079933	3050.84875691015	5709.158073244507	3981.464160692191	2457.760532073774	349.33644571693685			
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	100551.25624150538	28836.98341323896	118545.67661607952	76426.20200282379	63532.25365470771	91027.70090897768	34182.82362308863	77082.47352121188	33718.92075103118	8071.587449591097	16927.867755872692	2059.986987734496			
CALVIN-PWY	Calvin-Benson-Bassham cycle	110242.6925369932	31859.614335524067	125102.55336241543	91622.31029407348	64887.81835569654	92879.96108895562	31110.16272082016	59647.035232056114	38705.362820942864	8221.802558902247	18479.374231317568	2299.6394395256207			
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	9.880311819752697	0.5724783805634696	57.763890914152654	93.08069553284152	50.74991268645156	134.52024301656766	138.86565467343829	258.6868007546296	350.065804440132	168.91605360884293	513.8894478904174	81.43566213327581			
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.2560348998645785	0.1624043599309195	0.7081532037145701	2.659508671966158	1.6530072017170423	10.170352358954558	4.111178046819371	7.021708440986068	4.378290294654365	0.2461287336110493	2.5776593738623905	0.3398728601568591			
CENTFERM-PWY	pyruvate fermentation to butanoate	4492.572109930832	1458.172544404952	1585.6509241430742	12765.552098046464	1852.7501058179264	8922.287280112425	5422.738242249731	8733.687129600572	6379.719808838173	1768.2066924101102	2396.266647668608	234.0451088550014			
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	1.6120869285122177	11.905065067949174	8.915050518715969	71.89583979662682	47.97459017104438	102.69494330590294	32.98158338095923	55.16300453780517	216.28958570392385	40.946591697867056	55.85787831238224	5.5681168603130144			
COA-PWY	coenzyme A biosynthesis I	106337.7587328178	31877.558314060803	110364.76631804743	76615.75372848967	61511.05778157064	70231.6686123788	27348.596692750896	61769.647498358594	24338.30652224778	6459.934828160589	10864.67766283954	1336.7275540361238			
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	61528.08099727761	15145.45566464997	65194.94656535967	30324.77258115556	34405.15264391154	46923.81780664005	21674.77718997557	51158.95756130613	19127.146248071283	3594.710327069417	14556.725474671985	1907.1660830267124			
CODH-PWY	reductive acetyl coenzyme A pathway	2705.423778637231	155.98430777971902	1940.0318586359608	684.1204871025458	624.4001718598771	1571.8883438614348	518.3011649851968	1159.8956870337922	829.2448052706184	374.3999978571554	666.6322675557358	39.6741461240199			
COLANSYN-PWY	colanic acid building blocks biosynthesis	52942.62525811223	20808.82233889536	27194.146359552826	48635.16334437033	26292.22461343353	39975.49216332476	8082.394055425988	14215.146531748487	10931.490745737943	4767.235301425973	5590.621447920764	697.5361606419142			
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	68658.7851736782	17426.91885369337	72780.85981585886	66657.10590330085	33290.63138577891	81263.13293731248	31684.99287868578	72211.7622634549	29445.563013557883	7279.661554774609	14762.223641307151	1811.7833654541648			
CRNFORCAT-PWY	creatinine degradation I	0.7240475291328966	1.6141037933942315	10.069241883733577	57.21667498196639	21.66771004218297	134.94653526700185	84.32139779186296	177.62015827800946	40.103174112398186	138.13188901134998	55.74194037713617	3.438169650414537			
DAPLYSINESYN-PWY	L-lysine biosynthesis I	20386.07740781215	9799.23263701845	27521.70168269395	56912.85135527239	16533.229618774607	69590.92993979341	29246.4494860992	64802.801711059125	29728.616912768324	6160.471543559181	12804.001949060274	1426.4911151175525			
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	17.23389075055255	3.452566576874391	35.794181197448786	130.4630930633297	47.07724259363503	138.52520110847271	44.38545124626753	107.65027835796346	26.9942051519292	106.75505987709911	44.283113677654526	0.7373024291767221			
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	84687.21203507214	31707.84977778837	112218.3833397532	57629.33438906973	62123.21533365733	44649.10642964174	17733.676837447554	37124.38408439596	15782.93944489806	4881.692524356548	9573.587424003792	1070.097415130489			
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0002070809677048	0.0004617909114662	32.64867388027724	9.50434782912476	11.606015148864389	26.34585272168585	43.84414851061111	33.006770821293614	54.68054259575529	0.0007009216348425	27.82266705194317	22.21185579371384			
