Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697	NC	STD-NC	Total
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	130072.8580508706	302386.9370182048	103380.61469061348	206773.6329679362	44819.81838258686	36619.753639388735	111734.20688473569	11564.22855968346	66545.5642314324	25436.303030087514	10159.691403993977			
AST-PWY	L-arginine degradation II (AST pathway)	172.36225711008484	179.909863709371	394.5091019465016	145.9546181235146	15.871398923610592	75.3316596673699	47.19662627419794	456.1646394382911	111.68189109527007	137.22025517754156	144.51399260042865			
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	88820.17823248202	93200.36244881086	83254.53253522838	149409.0205141979	23939.141077959084	17441.537606236267	67719.40255356877	4421.95853433394	34059.17045672448	18963.080616361225	6177.921802473979			
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	135433.62730010142	223719.06403361747	99328.96974369578	191128.19308866933	61887.89070350195	59076.16309368828	99267.3594371289	24478.29681499081	80537.90759200689	35273.36897792666	15751.709058931265			
CALVIN-PWY	Calvin-Benson-Bassham cycle	151585.18587781736	219449.7531481802	106593.2575607749	215905.49149152363	66859.89834510192	59265.394826102376	127974.32861420946	29484.78802225817	88912.67337682846	40052.83683907408	19089.06588973385			
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	33.571352283764035	130.46414787815218	24.360442916623143	33.3026235840312	13.084537408662175	48.5282563751336	50.68143746756988	872.4398114622007	174.09878192037672	372.79429932350274	373.7963663013198			
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	1.9938683994805528	88.40871764679663	0.3779515945596026	2.4107901477676084	6.507469728470158	2.093909761764526	29.987447419851627	14.656766320808138	2.761654600699464	0.8450660053009925	7.610468667544197			
CENTFERM-PWY	pyruvate fermentation to butanoate	7895.154160636494	3306.665171844806	3437.299986929959	14047.74751981316	5935.0269527801975	5197.170849008066	4646.112945800677	4293.932721470656	11138.735824043328	4483.982932632999	2319.271591919128			
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	8.695428317427838	306.10942774334853	4.383532149630629	7.787617066409712	27.68722630461142	25.63910247130267	52.80717957791676	323.32026832840666	41.58458302539519	25.21760424062633	19.168048439753715			
COA-PWY	coenzyme A biosynthesis I	119655.47576460872	217471.64861367107	103850.72515796524	192096.4690233525	49854.06954216517	51613.61931335045	116266.98404656092	20255.33659303969	76041.13878796661	32925.5150740004	14559.33562935476			
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	65893.36688868298	132516.74625405463	59997.60000785865	89904.03309404376	22536.0129423239	26975.942495047835	62567.01999231004	14749.469565941825	33160.43466095249	17778.027138094312	8010.53912289434			
CODH-PWY	reductive acetyl coenzyme A pathway	1032.1769891492836	27673.091323134657	2356.3735831238405	6660.180298103319	1158.995233376639	1262.908183185268	4543.8134716727845	1110.090842105163	1950.6193052127608	559.5646471904041	375.35204741063467			
COLANSYN-PWY	colanic acid building blocks biosynthesis	44668.76309491971	134129.58318203446	51136.07977881201	99270.17668575158	30053.116355321057	26438.05337000336	72506.60472612349	8836.133811050186	48994.12525711238	22195.385944388687	9481.264402242414			
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	114849.95289901477	156634.35866097602	70298.50852183171	137196.34283444143	59978.794809496365	55034.1291900049	90695.4613504068	21346.64848514837	77419.02094212473	32957.09733332263	14250.497010780504			
CRNFORCAT-PWY	creatinine degradation I	1.392943043975632	64.26887209945289	1.6422611162236536	8023.778706825877	2.5066344790774817	11.113129926179395	24.01690072168444	217.93995179680272	22.20970155695689	35.89356059659216	34.89231402315816			
DAPLYSINESYN-PWY	L-lysine biosynthesis I	82820.3876020386	88110.99310141237	19719.95198640006	72587.65993367996	45412.92798144743	48293.39254971823	57792.23856718928	22054.70370243192	64704.663893580575	22602.89974006644	12907.859411892405			
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	16.971767047957663	60.7991154249806	1.9558437775851745	7076.983173080375	16.40310780127731	33.3309740698301	282.6599200488245	126.42223493485378	41.1823051770063	19.62380460717405	69.42049586434213			
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	81056.20879132365	238479.8896760829	81709.96342064856	155769.61463378344	26067.62574789937	33693.4931781394	92212.58327509766	15401.633992790044	54473.12118382381	23396.051197739034	9157.511341043662			
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	15.243095497408069	37.07305887128125	3.363371140482068	0.0032127922374785	0.0007170909707896	0.003180497581418	10.591284594008696	190.41637096755133	13.18730936538132	15.564172303556724	39.2950497181154			
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	149065.91464588844	400564.46894444287	102074.67015347508	223540.7670667744	49158.790486274935	48371.23823585429	119047.43012616529	15571.068196978988	60562.13527694033	29020.896215299726	10724.506219974635			
ECASYN-PWY	enterobacterial common antigen biosynthesis	359.8107701281028	245.2259623139561	828.3012475911395	75.02424896975857	37.31796836049077	159.03214846417015	54.59752922628922	453.0349409792514	248.747273370444	368.1276064544793	247.44321539747668			
