	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
EC:1.1.1.122	202.31170504576073	1010.4365768679872	456.92497520793506	508.90306334446325	245.59428528019532	264.01078805786136	994.0798915143002	506.4361717582323	569.8995174620381	1440.5374497832381	727.6587232249577	817.9066024330685	1773.9958175880022	547.6555782164735	1034.217326395913	719.8245213419779	149.9475264596565	264.58093489760375	164.0016028043526	293.6527739172186	91.08884076389585	765.8542909265499	14.944519996508102	64.42585727907773	1959.4353908318344	576.5110745021553	228.96278996007874	625.2999753683765	29.904631911891656
EC:1.1.1.125	9364.439883964274	13051.201696796743	7319.672886160682	15117.860891508955	3298.185645766007	5977.056775038995	14506.580075363107	6332.783503262975	6315.7371324636315	23490.770585767314	8861.267500572447	8966.925565150865	15637.992334865834	16013.988116079725	8759.564037777205	6057.415085262574	1186.5646442483335	3908.3704269345385	4704.004178235297	2495.8162419906935	513.7552138399717	5334.280701940033	272.1513340751743	74617.84767134229	32605.851235916278	15127.935507161543	2091.59741998978	4573.3300283841345	414.8025253424132
EC:1.1.1.130	2287.020670619203	1764.5933819697848	1147.6396289806894	6363.543016433098	852.4373937328959	1470.1686087180128	3311.2184146567306	1535.1453084876348	1450.5206119712332	7347.482753985233	1256.7847439196134	1477.9852319634065	2255.194929684544	2760.4537973841716	974.3212486733464	707.845864453726	250.54845410735686	736.9372800387644	1056.459535394669	513.628192456022	127.00157038595347	564.0002346819306	39.56519293344962	38610.79034997137	8355.255104498632	6030.518022270222	441.7104721042524	4215.836080895819	677.4759465618788
EC:1.1.1.132	275.4651770633556	58.080597451511416	1233.0304457270463	740.1288074329392	163.8678563394224	52.99154611807572	2819.545590898732	1974.5277628808908	1007.4496022749363	393.15072299493363	499.48306027685356	1155.5288480063052	234.47941845568997	356.9254403865069	48.6296700979957	309.67918168710344	103.11254373220585	367.79780379264685	122.99566400033373	62.21375009145902	4.899786739606179	88.27424924160157	0.9868176875083274	1124.160628679288	1504.5562149124385	83.32886360159543	461.68679573498383	1503.2841464595595	44.681565541771064
EC:1.1.1.133	47987.14894360452	39847.307274052015	121786.57391348446	58553.52271869482	20074.775962772976	13559.931333718378	34759.66279105998	89289.67314210981	45625.70926169173	74897.32064756745	23658.940178787394	58518.87737055851	17081.94196591554	58396.497632251936	28705.68587110885	10761.095777430124	5890.682250975319	6719.809558063698	5197.839662699597	44026.426956725634	1339.5496928308085	5595.54208692439	798.1591347076774	148785.54351611537	88767.27204262171	20403.74317376282	5569.595877623184	15650.012979638712	2188.177717813922
EC:1.1.1.136	2509.3950644475763	3728.2987396114786	1784.6255384425424	4344.130754292817	928.8984686852283	1645.7074804551805	2449.6809173134734	1125.4091302302295	1332.324384765848	9738.058044190857	1574.8414637177393	2453.45243857451	2487.127527576195	3875.266748579164	1956.5572261956775	2087.6102482694764	199.00490378521317	501.2825557911092	434.07493306699314	478.97730795950906	238.9019504462441	910.810803092787	69.14635596994866	5198.95440768948	7529.404625781237	2511.300931508568	702.2583071748609	646.7817311896965	33.31608993549544
EC:1.1.1.137	3173.375184921386	3400.9194163969955	1112.8181521981123	1450.3050024928584	116.03453088968953	1868.9921231860458	6485.558935615116	56267.91787726049	25974.08032008961	6366.504350811678	10351.610961565142	31770.53622386266	1131.6775142190122	6433.664762518584	610.4896108347334	1336.7676602575402	3428.5875436709275	329.8159832781756	315.4977636361797	27086.014215350202	96.70220349013354	1016.5947723390736	22.41481319922189	911.0159104566909	8678.822059407372	1053.3747510880153	490.90235701951025	130.19069414628703	4.784025421609994
EC:1.1.1.14	58030.74999411725	59296.4095558202	46245.66819926984	85069.19984926979	21380.326011713776	22096.486931273306	51394.80024500491	29765.78519376691	31335.589329379243	114046.7221722916	34627.11680022706	42714.22939149155	52634.58054802709	64117.80273995904	44528.94850187289	27622.919802223718	4018.432521148994	12116.34584862878	10142.551141050011	8682.11797424671	2186.32303332093	18814.211735087167	1244.5740379359204	132463.1194664859	114578.60042597947	48664.16424120992	8050.774995918128	19275.877841246358	2198.46970819499
EC:1.1.1.140	2487.1321016581824	10239.472057101362	3701.3246845126428	8074.6871457927355	1745.742665279449	3212.190787713735	8004.284348081991	6030.723982494841	5648.513351810841	11350.991163793575	5544.267912811007	8293.124386363643	9379.05952848247	7208.916003889384	5865.537394543497	4827.661695828908	973.8300714627276	1183.7791047973635	1100.4494176852977	1822.6770465991367	297.67758481306646	3912.9626694113967	88.92094782261479	2721.1047751025476	19455.546668056322	6095.3045125719345	923.9455289983175	444.0503609446283	44.88065044995239
EC:1.1.1.141	31.244472030015924	0.060557133576989115	0.0565780720229346	11.009752750181278	0.13646430914198898	5.409899780700512	0.02643724049075376	10.00021009383968	4.161276372664054	68.0427480223796	8.252124325554151	0.0021497488522778017	57.42964156665069	3.6742997186000728	14.022555575851811	4.584837637545803	0.2956603046725278	49.52461959767366	0.18774138216936948	41.68792311616647	6.642556796551126	3.1777541336143083	0.0	1129.921817549696	0.7980050232689417	9.481253128585795	24.738106933369547	3.8127743404578545	0.6958895166193246
